utteranceID,Group,Start,End,CPS_CONST_SharesU_Situation,CPS_CONST_SharesU_CorrectSolutions,CPS_CONST_SharesU_IncorrectSolutions,CPS_CONST_EstablishesCG_Confirms,CPS_CONST_EstablishesCG_Interrupts,CPS_NEG_Responds_Reasons,CPS_NEG_Responds_QuestionsOthers,CPS_NEG_Responds_Responds,CPS_NEG_MonitorsE_Results,CPS_NEG_MonitorsE_Strategizes,CPS_NEG_MonitorsE_Save,CPS_NEG_MonitorsE_GivingUp,CPS_MAINTAIN_Initiative_Suggestions,CPS_MAINTAIN_Initiative_Compliments,CPS_MAINTAIN_Initiative_Criticizes,CPS_MAINTAIN_FulfillsR_Support,CPS_MAINTAIN_FulfillsR_Apologizes,CPS_MAINTAIN_FulfillsR_InitiatesOffTopic,CPS_MAINTAIN_FulfillsR_JoinsOffTopic
Group_01_107,Group_01,339.87,341.85,,,,,,,,,,,,,,,,,,,
Group_01_108,Group_01,342.06,347.07,,1,,,,,,,,,,,,,,,,,
Group_01_109,Group_01,344.01,347.07,,,1,,1,,,,,,,,,,,,,,
Group_01_110,Group_01,350.73,351.67,,,,,,,,,1,,,,,,,,,,
Group_01_111,Group_01,351.31,351.75,,,,,,,,1,,,,,,,,,,,
Group_01_112,Group_01,351.65,352.71,,,,,,,,1,,,,,,,,,,,
Group_01_113,Group_01,354.36,359.76,,,,,,,,,,,,,,,,,,,
Group_01_114,Group_01,361.23,365.07,,,,,,,,,1,,,,,,,,,,
Group_01_115,Group_01,365.49,367.98,,,,1,,,,,,,,,,,,,,,
Group_01_116,Group_01,368.7,369.42,,,,,,,,,,,,,,,,,,,
Group_01_117,Group_01,369.91,370.68,,,,,,,,1,,,,,,,,,,,
Group_01_118,Group_01,370.86,372.84,,,,,,,,,,,,,,,,,,,
Group_01_119,Group_01,373.89,380.58,,1,,,,,,,,,,,,,,1,,,
Group_01_120,Group_01,374.64,375.25,,,,,,,,,,,,,,,,,,,
Group_01_121,Group_01,381.48,383.61,,1,,,,,,,,,,,,,,1,,,
Group_01_122,Group_01,383.7,384.33,1,,,,,,,,,,,,,,,,,,
Group_01_123,Group_01,385.08,388.41,,,,,,,,,1,,,,,,,,,,
Group_01_124,Group_01,394.62,399.66,,1,,,,,,,1,,,,,,,,,,
Group_01_125,Group_01,402.81,406.89,,,,,,,,,1,,,,1,,,,,,
Group_01_126,Group_01,407.58,410.37,,,,,,,,,1,,,,,,,,,,
Group_01_127,Group_01,410.52,412.5,,,,,,,,,,,,,,,,,,,
Group_01_128,Group_01,413.43,414.58,,,,,,,,,,,,,,,,,,,
Group_01_129,Group_01,414.91,415.83,,,,,,,,,,,,,,,,,,,
Group_01_130,Group_01,416.76,420.03,,,,,,,,,,,,,,,,,,,
Group_01_131,Group_01,420.96,423.39,,,,,,,,,,,,,,,,,,,
Group_01_132,Group_01,423.87,430.47,,1,,,,,,,1,,,,,,,1,,,
Group_01_133,Group_01,432.66,435.72,,,,,,,,,1,,,,1,,,,,,
Group_01_134,Group_01,440.4,442.53,,,,,,,,,1,,,,,,,,,,
Group_01_135,Group_01,442.68,448.16,,,,,,,,,1,,,,,,,,,,
Group_01_136,Group_01,443.66,454.47,,,,,1,,,,1,,,,1,1,,,,,
Group_01_137,Group_01,448.91,450.5,,,,,1,,,1,,,,,,,,,,,
Group_01_138,Group_01,455.37,459.27,,,,,,,,,,,,,,,,,,,
Group_01_139,Group_01,455.37,457.5,,,,,1,,,,,,,,,,,,,,
Group_01_140,Group_01,460.26,464.28,1,,,,,,,,,,,,,,,,,,
Group_01_141,Group_01,464.64,473.25,1,,,,,,,,,,,,,,,,,,
Group_01_142,Group_01,467.91,473.25,,,,,1,,,,,,,,,,,,,,
Group_01_143,Group_01,470.75,472.01,,,,,,,,,,,,,,,,,,,
Group_01_144,Group_01,473.37,479.88,1,,,,,,,,,,,,,,,,,,
Group_01_145,Group_01,473.45,479.88,,,,,,,,,,,,,,,,,,,
Group_01_146,Group_01,481.71,485.94,,,,,,,,,1,,,,,,,,,,
Group_01_147,Group_01,487.11,489.69,,1,,,,,,,,,,,,,,,,,
Group_01_148,Group_01,488.16,489.69,,1,,,1,,,,,,,,,,,,,,
Group_01_149,Group_01,491.07,493.59,,,,,,,1,,,,,,,,,,,,
Group_01_150,Group_01,493.72,495.42,,,,,,,1,,,,,,,,,,,,
Group_01_151,Group_01,495.72,498.01,,,,,,,,,,,,,,,,,,,
Group_01_152,Group_01,498.5,521.25,,,,1,,,,,,,,,,,,,,,
Group_01_153,Group_01,500.16,502.83,,,,,,,,1,,,,,,,,,,,
Group_01_154,Group_01,505.68,511.29,1,,,,,,,,,,,,,,,,,,
Group_01_155,Group_01,504.9,505.5,,,,,,,,,,,,,,,,,,,
Group_01_156,Group_01,511.32,514.47,1,,,,,,,,,,,,,,,,,,
Group_01_157,Group_01,517.02,519.24,,,,,,,,,1,,,,,,,,,,
Group_01_158,Group_01,525,526.13,,,,,,,,,,,,,,1,,,,,
Group_01_159,Group_01,526.33,527.58,,,,,,,,,,,,,,,,,,,
Group_01_160,Group_01,533.01,537.3,,,,,,,,,,,,,,,,,,,
Group_01_161,Group_01,538.17,541.44,,,,,,,,,,,,,,1,,,,,
Group_01_162,Group_01,539.83,540.22,,,,,,,,1,,,,,,,,,,,
Group_01_163,Group_01,541.74,545.94,,,,,,,,,,,,,,,,,,,
Group_01_164,Group_01,546.21,554.52,,1,,,,1,,,,,,,,,,,,,
Group_01_165,Group_01,549.41,550.5,,,,,1,,1,,,,,,,,,,,,
Group_01_166,Group_01,555.57,559.58,,,,,,1,,,,,,,,,,,,,
Group_01_167,Group_01,557.58,558.66,,,,1,1,,,,,,,,,,,,,,
Group_01_168,Group_01,559.08,561.69,,,1,,,,,,,,,,,,,,,,
Group_01_169,Group_01,562.08,563.41,,,,,,,,,1,,,,,,,,,,
Group_01_170,Group_01,563.42,565.26,,,,,,,,,,,,,1,,,,,,
Group_01_171,Group_01,565.59,574.71,,1,,,,1,,,,,,,,,,,,,
Group_01_172,Group_01,574.92,576.9,,,,,,,,1,,,,,,,,,,,
Group_01_173,Group_01,578.88,582.09,,,,,,,,,1,,,,,,,,,,
Group_01_174,Group_01,589.86,602.07,,1,,,,,,,,,,,1,,,1,,,
Group_01_175,Group_01,598.5,600.5,,,,,,,,1,,,,,,,,,,,
Group_01_176,Group_01,603.9,608.64,,,,,,,,,1,,,,,,,,,,
Group_01_177,Group_01,609,612.75,,,,1,1,,,,,,,,,,,,,,
Group_01_178,Group_01,610.5,611.08,,,,,1,,,1,,,,,,,,,,,
Group_01_179,Group_01,618.81,623.4,,,,,,,,,,,,,,1,,1,,,
Group_01_180,Group_01,623.43,628.02,,,,,,1,,,,,,,,,,1,,,
Group_01_181,Group_01,630.57,641.28,1,,,,1,,,,,,,,,,,,,,
Group_01_182,Group_01,632.23,638.08,,,,1,,,,,,,,,,1,,,,,
Group_01_183,Group_01,641.79,645.92,,,,,,,,,1,,,,,,,,,,
Group_01_184,Group_01,646.25,647.15,,,,,1,,,1,,,,,,,,,,,
Group_01_185,Group_01,650.41,652.35,,,,,,,,,,,,,,,,,,,
Group_01_186,Group_01,652.65,655.02,,,,,,,,,,,,,,,,,,,
Group_01_187,Group_01,655.17,666.21,,,,,,,,,,,,,,,,,,,
Group_01_188,Group_01,666.24,669,,,,,,,,,,,,,,,,,,,
Group_01_189,Group_01,677.16,679.14,1,,,,,,,,,,,,,,,,,,
Group_01_190,Group_01,679.23,686.61,1,,,,,,,,,,,,,,,,,,
Group_01_191,Group_01,686.94,692.37,1,,,,,,,,,,,,,,,,,,
Group_01_192,Group_01,689.91,690.92,,1,,,1,,,,,,,,,,,,,,
Group_01_193,Group_01,694.98,697.29,,,,,,,,,,,,,,,,,,,
Group_01_194,Group_01,697.32,701.34,1,,,,,,,,,,,,,,,,,,
Group_01_195,Group_01,702.21,707.07,,,,,,,,,1,,,,,,,,,,
Group_01_196,Group_01,704.75,706.25,,,,,1,,,,,,,,,,,1,,,
Group_01_197,Group_01,707.37,712.26,,,,,,,,,1,,,,,,,,,,
Group_01_198,Group_01,712.75,717.67,,1,,,,,,,1,,,,,,,,,,
Group_01_199,Group_01,712.62,723.9,,,,1,,,,,,,,,,,,,,,
Group_01_200,Group_01,718.91,719.91,,,,,,,,1,,,,,,,,,,,
Group_01_201,Group_01,724.11,726.92,,,,,,,,,,,,,1,,,,,,
Group_01_202,Group_01,727.25,729.42,,,,,,,,,,,,,,,,1,,,
Group_01_203,Group_01,729.69,731.79,,,,,,,,,,,,,,,,1,,,
Group_01_204,Group_01,732.75,739.02,,,,1,,,,,,,,,,,,1,,,
Group_01_205,Group_01,734.83,737.25,,,,,1,,,,,,,,,,,1,,,
Group_01_206,Group_01,738.16,738.42,,,,,,,,1,,,,,,,,,,,
Group_01_207,Group_01,739.53,741.51,,,,,,,,1,,,,,,,,,,,
Group_01_208,Group_01,743.28,745.62,,,,,,,,,,,,,,,,1,,,
Group_01_209,Group_01,748.38,751.83,,,,,,1,,,,,,,,,,,,,
Group_01_210,Group_01,752.02,753.45,,,,,,,,1,,,,,,,,,,,
Group_01_211,Group_01,754.77,757.89,,,,,,,,,,,,,,1,,,,,
Group_01_212,Group_01,760.41,771.36,,,,1,,,,,,,,,,1,,,,,
Group_01_213,Group_01,760.58,764.58,,,,,1,,,,,,,,,1,,,,,
Group_01_214,Group_01,752.25,774.39,,,,,,,,,,,,,,1,,,,,
Group_01_215,Group_01,780.15,783.54,,,,,,,,,,,,,,1,,,,,
Group_01_216,Group_01,782.02,783.4,,,,,,,,1,,,,,,,,,,,
Group_01_217,Group_01,785.97,786.66,,,,,,,,,,,,,,,,,,,
Group_01_218,Group_01,786.5,787.8,,,,,,,,,,,,,,,,,,,
Group_02_0,Group_02,2.88,5.91,,,,,,,,,,,,,,,,,,,
Group_02_1,Group_02,14.82,18.18,,,,,,,,,,,,,,,,,,,
Group_02_2,Group_02,18.75,23.1,,,,,,,,,,,,,,,,,,,
Group_02_3,Group_02,23.52,32.73,,,,,,,,,,,,,,,,,,,
Group_02_4,Group_02,27.15,28.38,,,,1,,,,,,,,,,,,,,,
Group_02_5,Group_02,33.3,36.42,,,,,,,,,,,,,,,,,,,
Group_02_6,Group_02,36.45,38.76,,,,,,,,,,,,,,,,,,,
Group_02_7,Group_02,39.48,45.21,,,,,,,,,,,,,,,,,,,
Group_02_8,Group_02,46.83,54.78,,,,,,,,,,,,,,,,,,,
Group_02_9,Group_02,54.9,57.3,,,,,,,,,,,,,,,,,,,
Group_02_10,Group_02,57.63,58.83,,,,,,,,,,,,,,,,,,,
Group_02_11,Group_02,59.58,65.92,,,,,,,,,,,,,,,,,,,
Group_02_12,Group_02,60.84,68.01,,,,,,,,1,,,,,,,,,,,
Group_02_13,Group_02,81.33,85.53,,,,,,,,,1,,,,,,,,,,
Group_02_14,Group_02,86.82,88.95,1,,,,,,,,,,,,,,,,,,
Group_02_15,Group_02,88.98,91.58,1,,,,,,,,,,,,,,,,,,
Group_02_16,Group_02,92.58,94.65,,,,,,,,,1,,,,,,,,,,
Group_02_17,Group_02,94.77,97.05,,,,,,,,,1,,,,,,,,,,
Group_02_18,Group_02,97.11,102.39,1,,,,1,,,,,,,,,,,,,,
Group_02_19,Group_02,97.37,98.25,,,,,1,,,,,,,,,,,,,,
Group_02_20,Group_02,104.08,106.23,,,,,,,,,1,,,,,,,,,,
Group_02_21,Group_02,102.45,104.75,,,,,,,,1,,,,,,,,,,,
Group_02_22,Group_02,108.06,111.3,,,,,,,,,,,,,,,,,,,
Group_02_23,Group_02,112.29,117.87,,1,,,,,,,,,,,,,,,,,
Group_02_24,Group_02,115.73,116.17,,,,,1,,,1,,,,,,,,,,,
Group_02_25,Group_02,119.13,120.16,,,,,,,,,,,,,,,,,,,
Group_02_26,Group_02,120.5,121.59,,1,,,1,,,,,,,,,,,,,,
Group_02_27,Group_02,121.74,123.9,,,,,,1,,,,,,,,,,,,,
Group_02_28,Group_02,124.68,127.02,,,,,,,,,1,,,,,,,,,,
Group_02_29,Group_02,133.83,136.17,,,,,,,,,,,,,,,,,,,
Group_02_30,Group_02,138,140.31,,,,,,,,,,,,,,1,,,,,
Group_02_31,Group_02,141.27,146.91,,,,,,,,,1,,,,,,,,,,
Group_02_32,Group_02,144.92,149.08,,,,,1,,,,1,,,,,,,,,,
Group_02_33,Group_02,149.97,151.95,,,,,,,,1,,,,,,,,,,,
Group_02_34,Group_02,152.31,153.75,,,,,,,,,1,,,,,,,,,,
Group_02_35,Group_02,154.58,155.34,,,,,,,,1,,,,,,,,,,,
Group_02_36,Group_02,155.49,158.1,,,,,,,,,,,,,,,,,,,
Group_02_37,Group_02,158.13,164.17,,,,,,,,,1,,,,,,,,1,,
Group_02_38,Group_02,164.31,165.67,,,,,1,,,,1,,,,,,,,,,
Group_02_39,Group_02,165.56,166.59,,,,,,,,1,,,,,,,,,,,
Group_02_40,Group_02,167.13,169.11,,1,,,,,,,,,,,,,,,,,
Group_02_41,Group_02,169.26,171.42,,,,,,,,1,,,,,,,,,,,
Group_02_42,Group_02,192.69,195.87,,,,,,,,,1,,,,,,,,,,
Group_02_43,Group_02,195.93,199.5,,,,,1,,,,1,,,,,,,,,,
Group_02_44,Group_02,199.75,200.82,,,,,,,,1,,,,,,,,,,,
Group_02_45,Group_02,216.87,220.01,,,,,,,,,1,,,,,,,,,,
Group_02_46,Group_02,220.25,221.25,,,,,1,,,1,,,,,,,,,,,
Group_02_47,Group_02,221.4,225.41,,1,,,,1,,,,,,,,,,,,,
Group_02_48,Group_02,222.5,227.46,,,,,1,,,1,,,,,,,,,,,
Group_02_49,Group_02,227.7,230.91,,,,,,,,1,,,,,,,,,,,
Group_02_50,Group_02,231.42,233.46,,1,,,,,,,,,,,,,,,,,
Group_02_51,Group_02,233.61,236.49,,1,,,,,,,,,,,,,,,,,
Group_02_52,Group_02,237.51,241.77,,,,1,,,,,1,,,,,,,,,,
Group_02_53,Group_02,247.95,250.17,,,,,,,,,,,,,,,,,,,
Group_02_54,Group_02,255.36,258.01,,,,,,,,,1,,,,,,,,,,
Group_02_55,Group_02,258.08,260.67,,1,,,,,,,,,,,,,,,,,
Group_02_56,Group_02,264.3,268.65,,,,,,,,,1,,,,,,,,,,
Group_02_57,Group_02,266.91,267.33,,,,,1,,,,,,,,,,,,,,
Group_02_58,Group_02,269.61,271.59,,1,,,,,,,,,,,,,,,,,
Group_02_59,Group_02,271.92,275.16,,,,,,,,,1,,,,,,,,,,
Group_02_60,Group_02,272.5,274.25,,,,,1,,,,1,,,,,,,,,,
Group_02_61,Group_02,285.15,287.16,,,,,,,,,,,,,,,,,,,
Group_02_62,Group_02,288.12,290.1,,,,1,,,,,,,,,,,,,,,
Group_02_63,Group_02,290.16,291.07,,,,,,,,1,,,,,,,,,,,
Group_02_64,Group_02,293.66,294.75,,,,1,,,,,,,,,,,,,,,
Group_02_65,Group_02,291.91,296.1,,,,,,,,,,,,,,,,,,,
Group_02_66,Group_02,297.06,297.75,,,,,,,,,,,,,1,,,,,,
Group_02_67,Group_02,298.74,299.64,,,,,,,,,,,,,,,,,,,
Group_02_68,Group_02,300.51,302.82,,,,,,,,1,,,,,,,,,,,
Group_02_69,Group_02,303.75,309.48,,,,,1,,,1,,,,,,,,,,,
Group_02_70,Group_02,303.15,307.25,,,,,1,,,1,,,,,,,,,,,
Group_02_71,Group_02,309.87,311.85,,,,,,,,,,,,,,,,,,,
Group_02_72,Group_02,332.49,334.47,1,,,,,,,,,,,,,,,,,,
Group_02_73,Group_02,335.41,338.13,,,,,,,,,,,,,,,,,,,
Group_02_74,Group_02,334.86,335.33,,,,,,,,,,,,,,,,,,,
Group_02_75,Group_02,339.06,340.5,,,,,,,,1,,,,,,,,,,,
Group_02_76,Group_02,338.52,338.91,,,,,,,,,,,,,,,,,,,
Group_02_77,Group_02,339.16,339.42,,,,,,,,1,,,,,,,,,,,
Group_02_78,Group_02,343.98,346.75,1,,,,,,,,,,,,,,,,,,
Group_02_79,Group_02,347.25,348.63,,,,,,,,,,,,,,,,,,,
Group_02_80,Group_02,351.21,353.19,1,,,,,,,,,,,,,,,,,,
Group_02_81,Group_02,353.28,357.36,,,,,,,,,,,,,,,,,,,
Group_02_82,Group_02,358.26,361.53,,,,,,,,,,,,,,,,,,,
Group_02_83,Group_02,358.34,358.74,,,,,,,,1,,,,,,,,,,,
Group_02_84,Group_02,362.16,363.08,,,,,,,,,,,,,,,,,,,
Group_02_85,Group_02,362.16,368.79,,,,1,,,,,,,,,,,,,,,
Group_02_86,Group_02,381.48,384.42,,,,,,,,,1,,,,,,,,,,
Group_02_87,Group_02,384.57,387.39,,,,,,,,,1,,,,,,,,,,
Group_02_88,Group_02,419.43,421.68,,,,,,,,,1,,,,,,,,,,
Group_02_89,Group_02,429.78,430.58,,,,,,,,,1,,,,,,,,,,
Group_02_90,Group_02,432.08,433.47,,,,,,,,,,,,,,1,,,,,
Group_02_91,Group_02,443.04,445.71,,,,,,,,,1,,,,,,,,,,
Group_02_92,Group_02,456.42,458.4,,,,1,,,,,,,,,,,,,,,
Group_02_93,Group_02,458.5,458.66,,,,1,,,,,,,,,,,,,,,
Group_02_94,Group_02,468.03,468.42,,,,1,,,,,,,,,,,,,,,
Group_02_95,Group_02,468.66,470.55,,,,,,,,1,,,,,,,,,,,
Group_02_96,Group_02,470.94,473.52,,,,,,,,1,,,,,,,,,,,
Group_02_97,Group_02,473.58,475.65,,,,1,,,,,,,,,,,,,,,
Group_02_98,Group_02,477.27,478.57,,,,,,,,,,,,,,,,,,,
Group_02_99,Group_02,478.01,480.78,,,,,1,,,,,,,,,,,,,,
Group_02_100,Group_02,481.35,483.66,,,,,,,,,,,,,,,,,,,
Group_02_101,Group_02,484.65,486.63,,,,,,,,,,,,,,,,,,,
Group_02_102,Group_02,490.2,492.18,,,,,,,,,,,,,,,,,,,
Group_02_103,Group_02,492.42,494.97,,,,,1,,,,1,,,,,,,,,,
Group_02_104,Group_02,492.66,493.42,,,,,,,,,,,,,,,,,,,
Group_02_105,Group_02,495,498.57,,,,,,,,,1,,,,,,,,,,
Group_02_106,Group_02,498.84,502.35,,,,,,,,,1,,,,,,,,,,
Group_02_107,Group_02,502.65,504.63,,,,,,,,,,,,,,,,,,,
Group_02_108,Group_02,502.92,504.58,,,,,1,,,,1,,,,,,,,,,
Group_02_109,Group_02,504.87,507.72,,,,1,,,,,,,,,,,,,,,
