Utterance,Start,End,Group,1,2,3,4
90,470.79,478.47,4,,Really ok,I thought it was closer to yellow green and like a red,
91,478.77,483.21,4,No way no way,Yeah let me show that to him,,
92,486.96,494.4,4,,Yeah no shot no shot I think this is a good way to do it actually side is kind of hard,Do that again,
93,495.21,499.17,4,,,Yeah you guys are right so if you do,
94,499.26,504.06,4,,Well I think I mean we eliminated some like,I like how we abandoned the voting,
95,504.48,506.46,4,,That's where I thought was pretty good,,
96,507.15,520.74,4,This one feels good this one for some reason feels weird yeah I know ok so fifties,But it's hard to say it makes it look almost lighter well I mean,Alright I'm ok with this so that's,
97,520.86,526.11,4,,Yeah this is pretty good,It would be fifty plus thirty so one ten,
98,527.73,532.26,4,Moment of truth yeah that makes one twenty,Yeah I am,We happy with one ten,
99,532.29,534.45,4,,Yeah,,
100,534.87,543.06,4,,,It's not quite correct think about the relationship between weights of the prior blocks and use a pattern to determine the weight of the mystery block,
101,543.12,556.14,4,Is it fibonacci oh my gosh,So it's like these these two god,Ten ten twenty thirty fifty so plus plus it's fibonnaci it's fucking fibonnaci,
102,556.53,564.6,4,,I saw something wasn't there something about fibonacci in the form,So ten plus ten is twenty twenty plus ten is thirty thirty plus twenty is fifty so it's eighty so I was fucking right,
103,564.87,569.82,4,Yeah I guess so,,,
104,570.24,577.5,4,,,Right my math is right right because thirty plus fifty is then eighty,
105,577.59,583.41,4,,There is weights inserted in here,Like ok that would be this and this right like,
106,584.04,588.3,4,Yeah,A cork or something,All right are we happy with eighty,
107,590.28,597.81,4,,Oh I did not sorry we even convinced you you were wrong too,,
108,598.47,605.07,4,Oh if we do like this we are like doing a weird balancing act we have to go right in the center of mass,,,
109,605.28,620.28,4,,,,Ok for the final part of this task read the scenario and estimate the weight of the missing second mystery block you will have two attempts to estimate and explain your answer you may now continue
110,620.31,623.46,4,,,The factory creates the wooden blocks,
111,623.52,639,4,,,Did not send us the second mystery block you have two oppurtunities to estimate the weight of the second block explain in one to two seconds or one to two sentences how you determined the estimate indicate the weight of the second mystery block,
112,640.35,642.33,4,,,If we're doing fibonnaci yeah sure,
113,643.02,646.29,4,True  ,,But that's what they want us to think,
114,646.59,648.57,4,,,It could be,
115,650.7,664.02,4,,What's our sentence going to be we didn't want to follow the pattern because it was too obvious you know what I mean,Well I um there's two ends to a pattern right there's the lower end and there's the upper end this is not specifying that the mystery block is heavier,
116,664.32,666.48,4,,,The second mystery block could be lighter,
117,666.81,676.26,4,Yeah it's gotta be heavier yeah cause,It can't yeah because the bottom one is ten x is zero,Oh no it did say that there it did say that there in scales of ten,
118,676.68,684.48,4,I said one thirty I feel like we can't overthink it,I agree one thirty because it follows fibonacci,,
119,685.92,690.9,4,,No way caps lock is on a lot,,
120,690.99,695.88,4,,O N A C C I,How do you spell Fibonacci,
121,696,699.6,4,,Oh that looks pretty good actually there might be two ns,,
122,700.2,702.66,4,No no there's,,How do you spell Fibonacci,
123,702.78,704.76,4,I think it's F oh it's that,,,
124,704.97,706.95,4,You can also look it up,I think this is right yeah,,
125,707.4,715.44,4,Yeah,,I don't know I'm just going to leave it like that it follows Fibonacci because it was eighty plus fifty yeah cool alright we happy with that,
126,715.47,718.14,4,,,Cool alright select one thirty yeah,
127,718.38,726,4,,We're done with that one,It is one thirty cool alright we have completed this task,
