Utterance,Start,End,Group,1,2,3,4,4,Transcript
39,181.74,184.02,2,,,,,0,
40,192.69,195.87,2,So you know twenty plus ten thirty probably,,,,1,So you know twenty plus ten thirty probably
41,195.93,200.82,2,Oh yeah it does,Yeah but it still feels like it's leaning towards the two blocks,,,2,Yeah but it still feels like it's leaning towards the two blocks
42,216.87,221.25,2,I guess it's leveling out a bit more but,Yeah,,,1,I guess it's leveling out a bit more but
43,221.4,227.46,2,Yeah yeah closest like,I guess and there's no increment so five so we could probably just go with thirty on that,,,2,I guess and there's no increment so five so we could probably just go with thirty on that
44,227.7,230.91,2,Accuracy wise so then you know,,,,1,Accuracy wise so then you know
45,231.42,233.46,2,You can do the same process with,,,,1,You can do the same process with
46,233.61,236.49,2,Putting this on that side checking this one,,,,1,Putting this on that side checking this one
47,237.51,241.77,2,Which is too much so we'll put twenty right,,,,1,Which is too much so we'll put twenty right
48,242.07,244.38,2,,,,,0,
49,247.95,250.17,2,,So that's the twenty and the thirty,,,2,So that's the twenty and the thirty
50,255.36,260.76,2,,It's leaning towards one side a bit much,,,2,It's leaning towards one side a bit much
51,261.93,263.91,2,,,,,0,
52,264.3,268.65,2,Oh not enough so probably,Ok,,,1,Oh not enough so probably
53,269.61,271.59,2,Twenty then,,,,1,Twenty then
54,271.92,275.16,2,Yeah and the thirty so fifty,Oh yeah the twenty and the thirty so we'll go with the fifty,,,2,Oh yeah the twenty and the thirty so we'll go with the fifty
55,278.58,281.79,2,,,,,0,
56,282.99,285.12,2,,,,,0,
57,285.15,287.16,2,,Alright,,,2,Alright
58,288.12,290.1,2,Wait did we mix these up or ,,,,1,Wait did we mix these up or 
59,290.16,296.1,2,I got no good ok,No  ,So these are both ten,,3,So these are both ten
60,297.06,299.64,2,Um,,Blue or purple,,3,Blue or purple
61,300.51,302.82,2,I think purple or,,,,1,I think purple or
62,303.15,309.48,2,Blue yeah no I see that's like a navy blue,This would be blue this would be purple yeah I thought they were both blue until,,,2,This would be blue this would be purple yeah I thought they were both blue until
63,309.87,311.85,2,,Question was asked,,,2,Question was asked
64,332.49,334.47,2,,,Are we supposed to write on the worksheet,,3,Are we supposed to write on the worksheet
65,334.86,338.13,2,,Um,,If you guys have gotten to the end of that we can,4,If you guys have gotten to the end of that we can
66,338.52,340.5,2,,Ok yep,,Over,2,Ok yep
67,343.98,348.63,2,,Wait a mystery block,,So  ,2,Wait a mystery block
68,351.21,353.19,2,,Without the scale,,,2,Without the scale
69,353.28,357.36,2,,,,For the next part of your task you will determine the weight of this mystery block,4,For the next part of your task you will determine the weight of this mystery block
70,358.26,361.53,2,,Ok,,You will have two attempts to enter the weight correctly,4,You will have two attempts to enter the weight correctly
71,362.16,368.79,2,,Alright we are allowed to use the other blocks in holding the weight,,You can now continue the survey,2,Alright we are allowed to use the other blocks in holding the weight
72,381.48,384.42,2,,Ok so this block is heavier than our fifty,,,2,Ok so this block is heavier than our fifty
73,384.57,387.39,2,Oh yeah much much more,,,,1,Oh yeah much much more
74,396.15,398.13,2,,,,,0,
75,401.52,404.22,2,,,,,0,
76,404.46,406.89,2,,,,,0,
77,412.11,416.79,2,,,,,0,
78,419.43,421.68,2,Yeah I mean that seems pretty similar,,,,1,Yeah I mean that seems pretty similar
79,429.78,433.47,2,That also seems similar,Do you want to give it a shot,,,1,That also seems similar
80,443.04,445.71,2,,,Like all of these,,3,Like all of these
81,453.15,455.55,2,,,,,0,
82,456.42,458.4,2,,All of these together is going to be,,,2,All of these together is going to be
83,468.03,470.55,2,Yeah cause that's,Twenty  ,,,2,Twenty  
84,470.94,473.52,2,Forty plus thirty seventy,,,,1,Forty plus thirty seventy
85,473.58,475.65,2,And fifty right,So yeah,,,1,And fifty right
86,477.27,480.78,2,,Yeah we got the two tens,,,2,Yeah we got the two tens
87,481.35,483.66,2,,Twenty,,,2,Twenty
88,484.65,486.63,2,,Thirty and then fifty,,,2,Thirty and then fifty
89,490.2,492.18,2,So it's probably,,,,1,So it's probably
90,492.42,494.97,2,Yeah,I might shoot all the way for the one forty,,,2,I might shoot all the way for the one forty
91,495,498.57,2,I think it's a bit more than the max,,,,1,I think it's a bit more than the max
92,498.84,502.35,2,So yeah probably maybe one forty plus or minus ten,,,,1,So yeah probably maybe one forty plus or minus ten
93,502.65,504.63,2,Actually either one thirty,Ok is the,,,2,Ok is the
94,504.87,507.72,2,,Is the can the weight exceed what's on the paper,,,2,Is the can the weight exceed what's on the paper
95,513.15,518.4,2,No ok maybe we should do one thirty and then,,,No,1,No ok maybe we should do one thirty and then
96,518.88,521.67,2,Or one forty and then one thirty if we think,,,,1,Or one forty and then one thirty if we think
97,522,530.37,2,I don't know that's kind of my thought process,I was thinking one forty first as well but um,Is it one fifty on here,,1,I don't know that's kind of my thought process
98,536.82,543.24,2,,Honestly I still feel like we should go with one forty first and if not we should actually move to one thirty,,,2,Honestly I still feel like we should go with one forty first and if not we should actually move to one thirty
99,543.33,546.12,2,,Sorry one fifty since it's on there,,,2,Sorry one fifty since it's on there
100,548.13,550.71,2,Yeah,Yeah,One forty,,3,One forty
101,551.04,553.11,2,,,,,0,
102,555.15,557.19,2,Is it wrong,,,,1,Is it wrong
103,557.43,560.52,2,,Not quite correct,,,2,Not quite correct
104,561.12,566.28,2,So plus or minus ten right,One more attempt alright,,,2,One more attempt alright
105,567.03,569.85,2,So we can try and,,,,1,So we can try and
106,580.53,583.02,2,I don't know it's probably better if the same hand,,,,1,I don't know it's probably better if the same hand
107,583.92,585.9,2,,Yeah,,,2,Yeah
108,590.79,597.51,2,I don't know I mean,I'm feeling the one fifty personally but,Wait what it it again when it's lined up,,2,I'm feeling the one fifty personally but
109,597.9,602.55,2,Um think yeah these are ten,That's a ten ten that's a twenty,,,2,That's a ten ten that's a twenty
110,602.91,604.98,2,,Fifty and that's a thirty,,,2,Fifty and that's a thirty
111,607.98,612.63,2,,And we guessed this was a one forty so our options were one thirty or,,,2,And we guessed this was a one forty so our options were one thirty or
112,612.75,614.73,2,,Off the paper,,,2,Off the paper
113,616.02,618,2,,Together that's one twenty,,,2,Together that's one twenty
114,619.95,624.9,2,,Um personally,I think it has to do with patterns,,3,I think it has to do with patterns
115,625.26,629.07,2,,,Because it says think about the relationship between the weights of the power blocks,,3,Because it says think about the relationship between the weights of the power blocks
116,629.58,632.49,2,,Oh yeah  ,And if you do like,,3,And if you do like
117,633.6,635.91,2,,,,,0,
118,637.71,639.99,2,,,These add up to twenty,,3,These add up to twenty
119,640.29,642.9,2,,,These add up to thirty these add up to fifty,,3,These add up to thirty these add up to fifty
120,644.79,647.37,2,,,But that doesn't really make sense either I don't know,,3,But that doesn't really make sense either I don't know
121,647.49,649.47,2,Yeah I mean this could be,,,,1,Yeah I mean this could be
122,649.98,655.71,2,This set of two adds up to this one and then the next set of two adds up to that,,,,1,This set of two adds up to this one and then the next set of two adds up to that
123,655.86,661.77,2,,So these would add up to eighty and then eighty plus fifty would be one thirty,So it would be eighty and you weigh less,,2,So these would add up to eighty and then eighty plus fifty would be one thirty
124,664.32,666.3,2,,,And thirty ,,3,And thirty 
125,673.68,676.8,2,,,I think it's just the last two so it would just be fifty and thirty,,3,I think it's just the last two so it would just be fifty and thirty
126,677.25,680.28,2,,,I think it just feels like it's,,3,I think it just feels like it's
127,680.52,686.01,2,Yeah that might make sense,Were we right then,A lot heavier because it's denser and like just carrying that,,3,A lot heavier because it's denser and like just carrying that
128,686.58,689.04,2,,,No you're wrong it was eighty,,3,No you're wrong it was eighty
129,689.13,692.94,2,Yeah it's a pattern,Really,Cause I think we did one step too much,,3,Cause I think we did one step too much
130,694.74,696.72,2,,,,Have you guys finished the second one,4,Have you guys finished the second one
131,697.05,700.29,2,Um yeah we just finished,,Is is the yeah mystery block,,2,Yeah we just finished
132,704.37,706.35,2,,,,,0,
133,708.6,715.11,2,,,,Ok for the final part of the task read the scenario and estimate the weight of the,4,Ok for the final part of the task read the scenario and estimate the weight of the
134,715.23,719.25,2,,,,Second in the string block you will have two attempts to estimate and explain your answer,4,Second in the string block you will have two attempts to estimate and explain your answer
135,720.81,722.82,2,,,,,0,
136,726.81,730.89,2,,,Well that was our one thirty right because that was fifty,,3,Well that was our one thirty right because that was fifty
137,731.43,733.44,2,Yeah so,,,,2,Yeah so
138,733.56,737.28,2,That makes sense yeah fifty and eighty one thirty,,,,1,That makes sense yeah fifty and eighty one thirty
139,741.39,747.66,2,And then like every set of two I guess and the next block will be the set,,,,1,And then like every set of two I guess and the next block will be the set
140,747.78,753.15,2,The like sum of the two previous blocks,,,,1,The like sum of the two previous blocks
141,755.1,757.89,2,,,,,0,
142,760.68,763.32,2,,,In order to like,,3,In order to like
143,763.77,765.75,2,,,Least heavy to most heavy or,,3,Least heavy to most heavy or
144,765.96,772.68,2,I guess heaviest to least heaviest maybe because these two add up to that one,,,,1,I guess heaviest to least heaviest maybe because these two add up to that one
145,772.95,775.05,2,These two add up to that one,,,,1,These two add up to that one
146,775.65,781.08,2,These two I guess it doesn't matter which order it's just the sum of the previous two,Yeah,Yeah,,1,These two I guess it doesn't matter which order it's just the sum of the previous two
147,783.27,785.49,2,And yeah I guess in order of,Um,,,1,And yeah I guess in order of
148,789.3,791.28,2,,,,,0,
149,792.99,795.12,2,,,,,0,
150,801.27,803.25,2,Alright cool,,Ok we're done,,3,Ok we're done
